Event_id,Episode,Region_province,Country,Population
1000000,49,Sicilia,Italy,5.2 million people
1000002,1,Kamchatskaya oblast',Russian Federation,-
1000003,1,Sumatera Utara,Indonesia,9.3 million people
1000004,6,Jawa Tengah,Indonesia,30.7 million people
1000004,6,Yogyakarta,Indonesia,3.1 million people
1000005,1,Vanuatu,Vanuatu,170000 people
1000006,4,Nusa Tenggara Timur,Indonesia,3.5 million people
1000007,1,Jawa Timur,Indonesia,33 million people
1000008,1,Reunion,Miscellaneous (French) Indian Ocean Islands,640000 people
1000009,1,Hawaii,United States,1.2 million people
1000010,1,Escuintla,Guatemala,570000 people
1000010,1,Guatemala,Guatemala,2.2 million people
1000010,1,Sacatepequez,Guatemala,210000 people
1000010,1,Santa Rosa,Guatemala,330000 people
1000011,1,Escuintla,Guatemala,570000 people
1000011,1,Sacatepequez,Guatemala,210000 people
1000011,1,Chimaltenango,Guatemala,390000 people
1000011,1,Suchitepequez,Guatemala,410000 people
1000012,5,Southern Tagalog,Philippines,8.3 million people
1000013,3,Sumatera Utara,Indonesia,9.3 million people
1000014,5,Escuintla,Guatemala,570000 people
